Query,Locale,Total Clicks,"Results (Entity, (Clicks;Average Position))"
cete,pt,2047,"Cête-Portugal-Team-Futebol (2012;1.0), Mauro Couto-Portugal-Player-Futebol (16;4.0), Cête Feminino-Portugal-Team-Futebol (9;2.0), Cête Sub-13-Portugal-Team-Futebol (4;4.0), Cête Veteranos-Portugal-Team-Futebol (2;3.0), Cête Sub-15-Portugal-Team-Futebol (2;6.5), Cête Sub-17-Portugal-Team-Futebol (2;5.0)"
chaves,pt,5283,"GD Chaves-Portugal-Team-Futebol-Q543467 (5101;1.0), Pedro Gonçalves-Portugal-Player-Futebol-Q56289593 (35;2.06), GD Chaves Satélite-Portugal-Team-Futebol (19;10.11), GD Chaves-Portugal-Team-Futsal (18;3.0), GD Chaves Sub-19-Portugal-Team-Futebol (17;12.18), GD Chaves B-Portugal-Team-Futebol (14;27.36), Steven Vitória-Canadá-Player-Futebol-Q3718823 (13;9.54), Leonardo Jardim-Portugal-Coach-Futebol-Q2162382 (12;2.58), GD Chaves-Portugal-Team-Futsal (11;2.0), Ariza Makukula-Portugal-Player-Futebol-Q513580 (6;11.83), GD Chaves Sub-15-Portugal-Team-Futebol (5;17.4), GD Chaves Sub-16-Portugal-Team-Futebol (5;21.0), Luís Castro-Portugal-Coach-Futebol-Q15896123 (4;3.25), GD Chaves Veteranos-Portugal-Team-Futebol (4;15.75), Stephen Eustáquio-Canadá-Player-Futebol-Q35009041 (3;7.33), GD Chaves Sub-13-Portugal-Team-Futebol (3;23.67), Beto Pimparel-Portugal-Player-Futebol-Q313955 (3;4.33), Ricardo Soares-Portugal-Coach-Futebol (3;11.67), Matheus Pereira-Brasil-Player-Futebol-Q15831118 (3;6.0), GD Chaves Sub-17-Portugal-Team-Futebol (2;19.0), Chaves Futsal-Portugal-Team-Futsal (2;1.0)"
chelsea,br,2047,"Chelsea-Inglaterra-Team-Futebol-Q9616 (2028;1.0), Estêvão-Brasil-Player-Futebol-Q115332579 (8;2.5), Mohamed Salah-Egipto-Player-Futebol-Q1354960 (7;2.43), Cole Palmer-Inglaterra-Player-Futebol-Q99760796 (2;7.5), Alexandre Pato-Brasil-Player-Futebol-Q138075 (2;11.0)"
chelsea,pt,5901,"Chelsea-Inglaterra-Team-Futebol-Q9616 (5741;1.0), João Félix-Portugal-Player-Futebol-Q27049064 (110;2.0), Renato Veiga-Portugal-Player-Futebol (17;4.88), José Mourinho-Portugal-Coach-Futebol-Q79983 (12;3.0), Pedro Neto-Portugal-Player-Futebol-Q30036972 (10;4.0), André Villas-Boas-Portugal-Coach-Futebol-Q212914 (4;12.0), Cole Palmer-Inglaterra-Player-Futebol-Q99760796 (3;10.67), Romelu Lukaku-Bélgica-Player-Futebol-Q313316 (2;10.0), Radamel Falcao-Colombia-Player-Futebol-Q138172 (2;4.5)"
cinfaes,pt,4684,"CD Cinfães-Portugal-Team-Futebol (4498;1.0), HDA Cinfães Futsal-Portugal-Team-Futsal (80;1.0), Nespereira FC-Portugal-Team-Futebol (23;2.0), CD Cinfães-Portugal-Team-Futsal (14;2.07), AD Piães-Portugal-Team-Futebol (10;3.7), CD Cinfães Sub-23-Portugal-Team-Futebol (8;9.5), GDCP Oliv. do Douro-Portugal-Team-Futebol (7;3.43), CD Cinfães Sub-14-Portugal-Team-Futebol (7;14.0), CD Cinfães Veteranos-Portugal-Team-Futebol (6;5.0), CD Cinfães-Portugal-Team-Futsal (6;4.33), Souselo FC-Portugal-Team-Futebol (5;18.0), CD Cinfães Sub-18-Portugal-Team-Futebol (4;14.75), CD Cinfães B-Portugal-Team-Futebol (3;12.0), Filipe Cardoso-Portugal-Coach-Futebol (3;1.0), CD Cinfães Sub-22-Portugal-Team-Futebol (2;10.0), Complexo Desportivo de Cinfães-Portugal-Stadium-Futebol (2;1.0), André Micael Silva-Portugal-Coach-Futebol (2;21.0), CD Cinfães Sub-15-Portugal-Team-Futebol (2;8.5), CD Cinfães Sub-19-Portugal-Team-Futebol (2;7.0)"
city,pt,6152,"Manchester City-Inglaterra-Team-Futebol-Q50602 (6049;1.11), Viktor Gyökeres-Suecia-Player-Futebol-Q47075606 (50;1.84), Erling Haaland-Noruega-Player-Futebol-Q28967995 (23;3.65), Renato Sanches-Portugal-Player-Futebol-Q18394009 (5;3.4), Leicester City-Inglaterra-Team-Futebol-Q19481 (4;8.75), Bruno Lage-Portugal-Coach-Futebol-Q56434101 (4;2.5), Nani-Portugal-Player-Futebol-Q482947 (3;5.0), Bernardo Silva-Portugal-Player-Futebol-Q15521306 (3;7.33), Jude Bellingham-Inglaterra-Player-Futebol-Q66241169 (3;8.67), Matheus Nunes-Portugal-Player-Futebol-Q96211488 (2;11.5), Rodri Hernández-España-Player-Futebol-Q20994118 (2;3.0), Rúben Dias-Portugal-Player-Futebol-Q21621168 (2;14.0), Pep Guardiola-España-Coach-Futebol-Q164038 (2;10.5)"
coimbroes,pt,4881,"SC Coimbrões-Portugal-Team-Futebol (4072;1.0), SC Coimbrões Sub-17-Portugal-Team-Futebol (369;2.02), SC Coimbrões Sub-15-Portugal-Team-Futebol (88;8.06), SC Coimbrões Sub-19-Portugal-Team-Futebol (73;5.38), SC Coimbrões Sub-14-Portugal-Team-Futebol (39;5.36), SC Coimbrões Sub-12-Portugal-Team-Futebol (31;8.26), SC Coimbrões Veteranos-Portugal-Team-Futebol (26;3.69), SC Coimbrões Sub-13-Portugal-Team-Futebol (24;8.92), SC Coimbrões-Portugal-Team-Futsal (24;3.0), SC Coimbrões Sub-16-Portugal-Team-Futebol (23;6.52), Sidoine Fogning-Camérun-Player-Futebol (18;2.56), SC Coimbrões Sub-11-Portugal-Team-Futebol (14;8.64), SC Coimbrões Sub-15-Portugal-Team-Futebol (12;16.67), SC Coimbrões-Portugal-Team-Futsal (12;2.0), SC Coimbrões-Portugal-Team-Basquetebol (11;6.73), SC Coimbrões-Portugal-Team-Basquetebol (8;6.0), SC Coimbrões Sub-13-Portugal-Team-Futebol (6;18.33), SC Coimbrões Sub-17-Portugal-Team-Futebol (6;17.17), SC Coimbrões Sub-15-Portugal-Team-Futebol (4;16.75), SC Coimbrões Sub-14-Portugal-Team-Basquetebol (4;1.0), SC Coimbrões Sub-23-Portugal-Team-Futebol (3;10.0), SC Coimbrões Sub-16-Portugal-Team-Basquetebol (2;4.5), SC Coimbrões Sub-16-Portugal-Team-Basquetebol (2;9.5), SC Coimbrões B-Portugal-Team-Futebol (2;14.0), SC Coimbrões Sub-21-Portugal-Team-Futebol (2;7.5), SC Coimbrões Sub-19-Portugal-Team-Basquetebol (2;2.0), Pavilhão Municipal de Coimbrões-Portugal-Stadium-Futebol (2;1.0), SC Coimbrões Sub-15-Portugal-Team-Futsal (2;6.0)"
comercio,pt,1645,"Comércio e Indústria-Portugal-Team-Futebol (1586;2.29), SC Salgueiros-Portugal-Team-Futebol-Q1754163 (23;1.0), Bruno Lage-Portugal-Coach-Futebol-Q56434101 (11;3.0), José Mourinho-Portugal-Coach-Futebol-Q79983 (11;3.0), Zequinha-Portugal-Player-Futebol-Q8069355 (9;6.0), U. Tomar-Portugal-Team-Futebol (3;5.0), Paulo Catarino-Portugal-Player-Futebol (2;7.0)"
como,pt,1727,"Como 1907-Italia-Team-Futebol-Q1120838 (1541;1.13), Andrea Belotti-Italia-Player-Futebol-Q4754963 (172;1.46), Raphaël Varane-Francia-Player-Futebol-Q489039 (8;2.38), Cesc Fàbregas-España-Player-Futebol-Q17499 (3;3.67), Dele Alli-Inglaterra-Player-Futebol-Q10553748 (3;4.0)"
corinthians,br,7562,"Corinthians-Brasil-Team-Futebol-Q35933 (7297;1.0), Yuri Alberto-Brasil-Player-Futebol-Q43252427 (106;2.01), Memphis Depay-Holanda-Player-Futebol-Q1894 (28;3.36), Ronaldo-Brasil-Player-Futebol-Q529207 (19;2.95), Falcão-Brasil-Player-Futebol-Q919942 (13;12.23), Lucas Moura-Brasil-Player-Futebol-Q312886 (11;6.09), Corinthians-Brasil-Team-Futsal-Q60774058 (10;4.2), Alexandre Pato-Brasil-Player-Futebol-Q138075 (8;8.75), Tiquinho Soares-Brasil-Player-Futebol-Q19985279 (8;10.0), Pepe-Portugal-Player-Futebol-Q485697 (7;16.0), Corinthians Feminino-Brasil-Team-Futebol (7;16.57), Paolo Guerrero-Perú-Player-Futebol-Q156802 (6;18.17), Rivaldo-Brasil-Player-Futebol-Q483577 (5;5.6), Ángel Romero-Paraguay-Player-Futebol-Q15960510 (5;10.6), Adriano-Brasil-Player-Futebol-Q170452 (3;8.33), Vágner Love-Brasil-Player-Futebol-Q295880 (3;9.67), Corinthians-Brasil-Team-Basquetebol (3;1.0), Vítor Pereira-Portugal-Coach-Futebol-Q556610 (3;17.67), Corinthians-AL-Brasil-Team-Futebol-Q1632704 (2;49.5), Luan-Brasil-Player-Futebol-Q16919481 (2;19.5), Luiz Gustavo-Brasil-Player-Futebol-Q329451 (2;77.0), Muller-Brasil-Player-Futebol (2;61.5), Éverton Ribeiro-Brasil-Player-Futebol-Q4025436 (2;14.0), Cássio-Brasil-Player-Futebol-Q920039 (2;13.5), Marcelinho Carioca-Brasil-Player-Futebol-Q378101 (2;22.5), Edmundo-Brasil-Player-Futebol (2;16.0), Jádson-Brasil-Player-Futebol-Q359160 (2;108.0), Roberto Carlos-Brasil-Player-Futebol-Q429039 (2;16.5)"
corinthians,pt,1686,"Corinthians-Brasil-Team-Futebol-Q35933 (1642;1.01), Pepe-Portugal-Player-Futebol-Q485697 (14;1.93), Corinthians-Brasil-Team-Futsal-Q60774058 (11;3.0), Memphis Depay-Holanda-Player-Futebol-Q1894 (7;4.0), Tiquinho Soares-Brasil-Player-Futebol-Q19985279 (2;15.5), Lucas Moura-Brasil-Player-Futebol-Q312886 (2;20.0), Falcão-Brasil-Player-Futebol-Q919942 (2;2.0), Willian-Brasil-Player-Futebol-Q73480 (2;28.5), Ronaldo-Brasil-Player-Futebol-Q529207 (2;3.0), Corinthians-Brasil-Team-Basquetebol (2;1.0)"
coritiba,br,2884,"Coritiba-Brasil-Team-Futebol-Q478317 (2821;1.0), Igor Jesus-Brasil-Player-Futebol-Q65030995 (33;2.0), Raphael Veiga-Brasil-Player-Futebol-Q27443365 (8;2.5), Felipe Anderson-Brasil-Player-Futebol-Q794628 (8;6.12), Leandro Damião-Brasil-Player-Futebol-Q62733 (4;8.5), Coritiba Feminino-Brasil-Team-Futebol (3;2.0), Dudu-Brasil-Player-Futebol-Q1341709 (3;4.67), Alex-Brasil-Player-Futebol (2;2.0), Coritiba FC-Brasil-Team-Futebol (2;16.0)"
costinha,pt,1695,"Costinha-Portugal-Player-Futebol-Q311087 (1345;1.0), Costinha-Portugal-Player-Futebol-Q85038325 (261;2.0), Paulo Costinha-Portugal-Coach-Futebol (42;3.57), Costinha-Portugal-Player-Futebol (17;15.71), Rodrigo Costinha-Portugal-Player-Futebol (11;4.09), Costinha-Portugal-Player-Futebol (7;10.29), João Costinha-Portugal-Player-Futebol-Q20974180 (5;28.2), Costinha-Portugal-Player-Futebol-Q1607231 (3;24.33), Pedro Costinha-Portugal-Player-Futebol-Q17514192 (2;26.0), Costinha-Portugal-Director-Futebol (2;1.5)"
covilha,pt,2824,"SC Covilhã-Portugal-Team-Futebol-Q1891367 (2756;1.0), Pizzi-Portugal-Player-Futebol-Q611923 (25;2.0), Rui Barros-Portugal-Player-Futebol-Q735137 (9;3.0), Covilhã e Benfica-Portugal-Team-Futebol (5;5.2), SC Covilhã-Portugal-Team-Futebol-Q18913679701 (5;6.8), Josué-Portugal-Player-Futebol-Q2645254 (5;4.0), SC Covilhã-Portugal-Team-Futsal (4;1.75), Tarantini-Portugal-Player-Futebol-Q7322685 (4;8.5), CD Covilhã-Portugal-Team-Basquetebol (4;1.0), AD Estação-Portugal-Team-Futebol (3;8.33), SC Covilhã Sub-15-Portugal-Team-Futebol (2;13.5), Ricardo Soares-Portugal-Coach-Futebol (2;7.5)"
crb,br,2050,"CRB-Brasil-Team-Futebol-Q1024264 (2025;1.0), CRB Feminino-Brasil-Team-Futebol (7;4.57), Roberto Firmino-Brasil-Player-Futebol-Q602525 (6;2.0), CRB Sub-20-Brasil-Team-Futebol (5;18.6), Kazu Miura-Japón-Player-Futebol-Q331953 (5;3.0), Willian José-Brasil-Player-Futebol-Q2469796 (2;4.0)"
criciuma,br,2645,"Criciúma-Brasil-Team-Futebol (2575;1.0), Yannick Bolasie-Congo RD-Player-Futebol-Q4022527 (26;2.35), Criciúma Sub-20-Brasil-Team-Futebol (20;15.1), Róger Guedes-Brasil-Player-Futebol-Q10364015 (13;2.54), Criciúma Feminino-Brasil-Team-Futebol (6;5.0), Mário Jardel-Brasil-Player-Futebol-Q317863 (5;3.0)"
cristiano,pt,4051,"Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (3265;1.0), Cristiano Ronaldo Jr.-Portugal-Player-Futebol (672;2.0), Cristiano Maia-Portugal-Player-Futebol (47;3.0), Cristiano Ronaldo-Portugal-Player-Futebol (20;2.9), Cristiano Marques-Portugal-Player-Futsal (18;1.83), Cristiano-Portugal-Player-Futebol-Q56811686 (11;3.73), Cristiano Ronaldo-Portugal-Player-Futebol (7;8.29), Cristiano Bacci-Italia-Coach-Futebol (5;3.0), Cristiano Figueiredo-Portugal-Player-Futebol-Q756936 (2;10.5), Cristiano Lucarelli-Italia-Player-Futebol-Q310034 (2;9.0), Cristiano-Portugal-Coach-Futebol (2;18.5)"
cristiano ronaldo,br,2074,"Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (1882;1.0), Cristiano Ronaldo Jr.-Portugal-Player-Futebol (145;2.0), Cristiano Ronaldo-Brasil-Player-Futebol (11;5.82), Cristiano Ronaldo-Brasil-Player-Futebol (10;3.1), Cristiano Ronaldo-Portugal-Player-Futebol (9;3.89), Cristiano Ronaldo-Brasil-Player-Futebol (6;7.17), Cristiano Ronaldo-Brasil-Player-Futebol (4;7.5), Cristiano Ronaldo-Portugal-Player-Futebol (3;8.33), Cristiano Ronaldo Pangaio-Portugal-Player-Futebol (2;12.5), Cristiano Ronaldo-Portugal-Player-Futebol (2;5.5)"
cristiano ronaldo,pt,6856,"Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (4650;1.01), Cristiano Ronaldo Jr.-Portugal-Player-Futebol (1545;2.02), Cristiano Ronaldo-Portugal-Player-Futebol (455;3.49), Cristiano Ronaldo-Portugal-Player-Futebol (89;4.11), Cristiano Ronaldo-Portugal-Player-Futebol (39;6.38), Cristiano Ronaldo Pangaio-Portugal-Player-Futebol (21;9.81), Cristiano Ronaldo-Brasil-Player-Futebol (21;7.76), Cristiano Ronaldo-Brasil-Player-Futebol (10;8.9), Cristiano Ronaldo-Brasil-Player-Futebol (10;5.1), Cristiano Estrela-Portugal-Player-Futebol (4;17.5), Cristiano Miranda-Portugal-Player-Futebol (3;14.67), Cristiano-Portugal-Player-Futebol (3;44.67), Cristiano Marques-Portugal-Player-Futebol (2;8.0), Cristiano Tavares-Portugal-Player-Futebol (2;30.5), Cristiano Neves-Portugal-Player-Futebol (2;44.0)"
croca,pt,1589,"AC Croca-Portugal-Team-Futebol (1235;1.0), AC Croca Sub-19-Portugal-Team-Futebol (135;2.5), AC Croca Sub-17-Portugal-Team-Futebol (91;3.2), AC Croca Sub-15-Portugal-Team-Futebol (61;3.57), AC Croca Sub-13-Portugal-Team-Futebol (39;7.26), AC Croca Sub-12-Portugal-Team-Futebol (14;8.43), AC Croca Sub-14-Portugal-Team-Futebol (7;6.86), AC Croca Veteranos-Portugal-Team-Futebol (4;9.0), AC Croca B-Portugal-Team-Futebol (3;10.0)"
cruz,pt,3223,"Sp. Cruz-Portugal-Team-Futebol (2759;1.28), Cruz Azul-México-Team-Futebol (338;1.74), Cruzeiro-Brasil-Team-Futebol-Q188277 (73;2.96), Martín Anselmi-Argentina-Coach-Futebol-Q110278664 (33;2.21), Neymar-Brasil-Player-Futebol-Q142794 (15;2.13), Ronaldo-Brasil-Player-Futebol-Q529207 (3;3.0), André Cruz-Portugal-Player-Basquetebol (2;1.5)"
cruz azul,pt,3120,"Cruz Azul-México-Team-Futebol (2740;2.13), Martín Anselmi-Argentina-Coach-Futebol-Q110278664 (333;1.23), Cruz Azul Feminino-México-Team-Futebol (16;5.69), Pedro Caixinha-Portugal-Coach-Futebol (10;4.3), Stephen Eustáquio-Canadá-Player-Futebol-Q35009041 (6;2.33), Santiago Giménez-México-Player-Futebol (5;2.2), Cruz Azul Hidalgo-México-Team-Futebol (4;6.0), Roque Santa Cruz-Paraguay-Player-Futebol-Q152492 (4;7.5), Cruz Azul Jasso-México-Team-Futebol (2;9.5)"
cruzeiro,br,6302,"Cruzeiro-Brasil-Team-Futebol-Q188277 (6202;1.0), Gabriel Barbosa-Brasil-Player-Futebol-Q13646572 (23;2.0), Cruzeiro-Brasil-Team-Futsal (10;1.0), Matheus Pereira-Brasil-Player-Futebol-Q15831118 (9;5.44), Rony-Brasil-Player-Futebol-Q28748046 (6;8.33), Dudu-Brasil-Player-Futebol-Q1341709 (6;5.67), De Arrascaeta-Uruguay-Player-Futebol-Q13578003 (5;3.4), Cruzeiro-Brasil-Team-Voleibol (5;1.0), Cruzeiro-RS-Brasil-Team-Futebol (4;11.5), Túlio Maravilha-Brasil-Player-Futebol-Q714354 (4;17.5), Cruzeiro-RS Feminino-Brasil-Team-Futebol (4;27.75), Cruzeiro Feminino-Brasil-Team-Futebol (4;27.0), Ronaldo-Brasil-Player-Futebol-Q529207 (3;2.67), Fabrício Bruno-Brasil-Player-Futebol-Q28531145 (3;17.33), Cruzeiro-AL-Brasil-Team-Futebol (3;13.0), Bebeto-Brasil-Player-Futebol-Q204825 (3;10.67), Alex-Brasil-Player-Futebol (2;7.5), Edmundo-Brasil-Player-Futebol (2;11.5), Rivaldo-Brasil-Player-Futebol-Q483577 (2;5.5), Cruzeiro Sub-20-Brasil-Team-Futebol (2;63.5)"
cruzeiro,pt,2634,"Cruzeiro-Brasil-Team-Futebol-Q188277 (2568;1.01), Ronaldo-Brasil-Player-Futebol-Q529207 (20;2.05), Leonardo Jardim-Portugal-Coach-Futebol-Q2162382 (11;2.0), Vitor Roque-Brasil-Player-Futebol-Q111016177 (10;3.0), Matheus Pereira-Brasil-Player-Futebol-Q15831118 (5;7.2), Gabriel Veron-Brasil-Player-Futebol-Q75059692 (4;5.25), Cruzeiro-Brasil-Team-Futsal (4;2.0), Rivaldo-Brasil-Player-Futebol-Q483577 (4;7.75), Gabriel Barbosa-Brasil-Player-Futebol-Q13646572 (2;4.0), Pepa-Portugal-Coach-Futebol (2;6.5), Dinamo Cruzeiro-Portugal-Team-Futebol (2;20.0), ACDU Cruzeiro-Portugal-Team-Futebol (2;28.5)"
csa,br,1713,"CSA-Brasil-Team-Futebol-Q928885 (1668;1.0), CSA Sub-20-Brasil-Team-Futebol (11;9.64), CSA Sub-17-Brasil-Team-Futebol (6;6.67), CSA B-Brasil-Team-Futebol (5;14.6), CSA Sub-23-Brasil-Team-Futebol (5;10.4), CSA Sub-19-Brasil-Team-Futebol (3;7.67), CSA Sub-15-Brasil-Team-Futebol (3;8.33), CSA Feminino-Brasil-Team-Futebol (3;3.67), Marta-Brasil-Player-Futebol-Q228616 (3;2.0), Patrick Fabiano-Timor-Player-Futebol (2;9.5), Deco-Portugal-Player-Futebol-Q659634 (2;4.0), CSA Sub-18-Brasil-Team-Futebol (2;10.0)"
cuiaba,br,2214,"Cuiabá-Brasil-Team-Futebol-Q2945011 (2179;1.0), Igor Jesus-Brasil-Player-Futebol-Q65030995 (9;2.11), Cuiabá Sub-20-Brasil-Team-Futebol (7;10.71), Cuiabá Sub-23-Brasil-Team-Futebol (6;14.83), Cuiabá Feminino-Brasil-Team-Futebol (5;5.0), Isidro Pitta-Paraguay-Player-Futebol (3;4.67), Cuiabá Sub-19-Brasil-Team-Futebol (3;9.67), Deyverson-Brasil-Player-Futebol-Q10552615 (2;2.5)"
custoias,pt,3227,"Custóias FC-Portugal-Team-Futebol (2868;1.25), Rodrigo Mora-Portugal-Player-Futebol (108;1.76), Custóias FC Sub-15-Portugal-Team-Futebol (58;6.33), Custóias FC Sub-19-Portugal-Team-Futebol (49;7.98), Custóias FC Sub-17-Portugal-Team-Futebol (48;5.71), Custóias FC Feminino-Portugal-Team-Futebol (37;3.0), Custóias FC Sub-14-Portugal-Team-Futebol (11;10.0), Custóias FC Sub-15-Portugal-Team-Futebol (8;17.0), Custóias FC Sub-19-Portugal-Team-Futebol (8;19.0), Custóias FC Sub-17-Portugal-Team-Futebol (7;19.86), Custóias FC Sub-16-Portugal-Team-Futebol (6;13.0), Custóias FC Sub-13-Portugal-Team-Futebol (5;6.2), Custóias FC Sub-15-Portugal-Team-Futebol (3;15.0), Custóias FC Veteranos-Portugal-Team-Futebol (3;9.0), Custóias FC Sub-20-Portugal-Team-Andebol (2;1.0), AA Custóias-Portugal-Team-Futsal (2;1.0), AA Custóias-Portugal-Team-Futebol (2;4.0), Custóias FC Sub-17-Portugal-Team-Futebol (2;20.5)"
damaiense,pt,4422,"Damaiense-Portugal-Team-Futebol (3296;1.02), Damaiense Feminino-Portugal-Team-Futebol (793;2.11), Damaiense Sub-15-Portugal-Team-Futebol (54;8.69), Geovany Quenda-Portugal-Player-Futebol (36;2.72), Damaiense Sub-15-Portugal-Team-Futebol (33;10.82), Damaiense Sub-17-Portugal-Team-Futebol (32;11.06), Damaiense Sub-16-Portugal-Team-Futebol (31;6.71), Damaiense Sub-19-Portugal-Team-Futebol (26;12.08), Damaiense Sub-14-Portugal-Team-Futebol (24;5.96), Damaiense Sub-19-Portugal-Team-Futebol (17;13.06), Damaiense Sub-17-Portugal-Team-Futebol (16;12.0), Tiago Djaló-Portugal-Player-Futebol-Q50349931 (15;3.4), Damaiense Sub-13-Portugal-Team-Futebol (11;8.18), Damaiense B-Portugal-Team-Futebol (6;17.17), Ana Maria Markovic-Croacia-Player-Futebol-Q97747736 (4;5.0), Damaiense Sub-15-Portugal-Team-Futebol (4;21.0), Damaiense Sub-10-Portugal-Team-Futebol (4;11.25), Damaiense-Portugal-Team-Futsal (4;2.0), Ivanildo Fernandes-Cabo Verde-Player-Futebol-Q21621285 (3;14.67), Gilson Benchimol-Cabo Verde-Player-Futebol-Q105939150 (3;18.67), Damaiense Sub-21-Portugal-Team-Futebol (3;14.67), Damaiense Sub-13-Portugal-Team-Futebol (3;20.0), Damaiense Veteranos-Portugal-Team-Futebol (2;10.0), Damaiense Sub-17-Portugal-Team-Futebol (2;23.0)"
daniel sousa,pt,1640,"Daniel Sousa-Portugal-Coach-Futebol-Q115804715 (1628;1.04), Daniel Sousa-Portugal-Coach-Futebol (6;2.5), Daniel Sousa-Portugal-Player-Futebol (2;29.0), Daniel Sousa-Portugal-Player-Futebol (2;9.5), Daniel Sousa-Portugal-Player-Futebol (2;2.0)"
despertar,pt,2938,"FC Despertar-Portugal-Team-Futebol (1935;1.02), Despertar SC-Portugal-Team-Futebol (809;2.16), Despertar SC Sub-15-Portugal-Team-Futebol (62;4.02), Nuno Mendes-Portugal-Player-Futebol-Q96396963 (30;2.67), Despertar SC Sub-16-Portugal-Team-Futebol (25;11.04), FC Despertar Sub-15-Portugal-Team-Futebol (13;15.31), FC Despertar Sub-13-Portugal-Team-Futebol (8;7.12), Despertar SC Sub-19-Portugal-Team-Futebol (8;5.0), FC Despertar Sub-14-Portugal-Team-Futebol (7;12.71), Despertar SC Sub-17-Portugal-Team-Futebol (7;6.0), Despertar SC Sub-11-Portugal-Team-Futebol (5;15.2), FC Despertar Sub-19-Portugal-Team-Futebol (5;9.0), FC Despertar Sub-16-Portugal-Team-Futebol (5;10.0), FC Despertar Sub-17-Portugal-Team-Futebol (5;18.2), Despertar SC Sub-13-Portugal-Team-Futebol (4;8.0), Despertar SC Veteranos-Portugal-Team-Futebol (4;18.0), Despertar SC Sub-18-Portugal-Team-Futebol (2;12.0), FC Despertar Veteranos-Portugal-Team-Futebol (2;14.0), Despertar SC-Portugal-Team-Futsal (2;1.0)"
dezembro,pt,1716,"1º Dezembro-Portugal-Team-Futebol (1678;1.0), 1º Dezembro Sub-15-Portugal-Team-Futebol (12;10.42), Paulo Fonseca-Portugal-Coach-Futebol-Q10346582 (11;2.0), 1º Dezembro Feminino-Portugal-Team-Futebol (8;4.25), GM 1.º de Dezembro-Portugal-Team-Andebol (5;1.0), 1º Dezembro B-Portugal-Team-Futebol (2;19.0)"
di maria,pt,3912,"Ángel Di María-Argentina-Player-Futebol-Q251683 (3805;1.05), Paulinho-Portugal-Player-Futebol-Q6298297 (56;1.91), Rúben Neves-Portugal-Player-Futebol-Q17486599 (21;3.0), Di María-Portugal-Player-Futebol (11;18.82), Miroslav Klose-Alemania-Player-Futebol-Q80471 (6;4.67), Di Maria-Portugal-Player-Futebol (4;7.25), Mariano Díaz-Dominican Rep.-Player-Futebol-Q10556350 (3;6.33), Di Maria-Cabo Verde-Player-Futsal (2;2.0), Di Maria-Portugal-Player-Futebol (2;6.5), Di Maria-Portugal-Player-Futebol (2;1.0)"
dortmund,pt,2242,"Borussia Dortmund-Alemania-Team-Futebol-Q41420 (2201;1.07), Vangelis Pavlidis-Grecia-Player-Futebol (32;1.88), Borussia Dortmund-Alemania-Team-Andebol (5;2.0), Erling Haaland-Noruega-Player-Futebol-Q28967995 (2;3.0), Marco Reus-Alemania-Player-Futebol-Q152377 (2;6.0)"
dragon force,pt,2160,"Dragon Force-Portugal-Team-Futebol (2048;2.39), João Félix-Portugal-Player-Futebol-Q27049064 (31;1.1), Vitinha-Portugal-Player-Futebol-Q66818509 (10;3.1), Dragon Force Sub-15-Portugal-Team-Futebol (9;16.0), Rodrigo Mora-Portugal-Player-Futebol (9;3.11), Dragon Force Sub-14-Portugal-Team-Futebol (9;16.67), Dragon Force Sub-17-Portugal-Team-Futebol (7;17.14), Diogo Dalot-Portugal-Player-Futebol-Q26255506 (5;7.0), Dragon Force Sub-13-Portugal-Team-Futebol (5;17.8), Gustavo Sá-Portugal-Player-Futebol (4;7.25), Dragon Force Bogotá-Colombia-Team-Futebol (4;15.0), Diogo Costa-Portugal-Player-Futebol-Q26255578 (3;4.67), Fábio Vieira-Portugal-Player-Futebol-Q63032399 (3;6.0), Martim Fernandes-Portugal-Player-Futebol (3;9.0), Bica-Portugal-Player-Futebol (2;26.0), Bernardo Folha-Portugal-Player-Futebol (2;17.5), Diogo Leite-Portugal-Player-Futebol-Q38218627 (2;11.5), Dragon Force Sub-11-Portugal-Team-Futebol (2;31.5), Dragon Force-Portugal-Team-Basquetebol (2;1.0)"
dumiense,pt,2310,"Dumiense/CJP II-Portugal-Team-Futebol (1990;1.0), Dumiense/CJP II Sub-19-Portugal-Team-Futebol (77;8.62), Dumiense/CJP II Sub-18-Portugal-Team-Futebol (53;3.25), Dumiense/CJP II Sub-17-Portugal-Team-Futebol (51;7.59), Dumiense/CJP II Sub-16-Portugal-Team-Futebol (37;4.22), Dumiense/CJP II Sub-15-Portugal-Team-Futebol (30;8.47), Dumiense/CJP II Sub-14-Portugal-Team-Futebol (17;6.35), Dumiense/CJP II Veteranos-Portugal-Team-Futebol (11;2.27), Dumiense/CJP II Sub-13-Portugal-Team-Futebol (11;5.09), Dumiense/CJP II-Portugal-Team-Voleibol (10;1.0), Dumiense/CJP II Sub-19-Portugal-Team-Futebol (6;10.33), Dumiense/CJP II Sub-17-Portugal-Team-Futebol (5;11.0), Dumiense/CJP II Sub-15-Portugal-Team-Futebol (4;12.5), Joel Marques-Portugal-Player-Futebol (2;1.5), Rodrigo Oliveira-Portugal-Player-Futebol (2;1.0)"
