Query,Locale,Total Clicks,"Results (Entity, (Clicks;Average Position))"
aldeia nova,pt,2555,"GD Aldeia Nova-Portugal-Team-Futebol (1940;1.0), GD Aldeia Nova Feminino-Portugal-Team-Futebol (390;2.0), GD Aldeia Nova Sub-17-Portugal-Team-Futebol (72;6.53), GD Aldeia Nova Sub-13-Portugal-Team-Futebol (34;9.0), GD Aldeia Nova Sub-15-Portugal-Team-Futebol (28;14.0), GD Aldeia Nova Sub-19-Portugal-Team-Futebol (22;6.59), GD Aldeia Nova Sub-19-Portugal-Team-Futebol (21;8.0), GD Aldeia Nova Sub-16-Portugal-Team-Futebol (18;10.0), Juv. Aldeia Nova-Portugal-Team-Futebol (13;3.0), GD Aldeia Nova Sub-14-Portugal-Team-Futebol (6;15.17), GD Aldeia Nova Veteranos-Portugal-Team-Futebol (3;11.0), Nélson Costa-Portugal-Player-Futebol (2;3.0), GD Aldeia Nova Sub-15-Portugal-Team-Futebol (2;13.0), GD Aldeia Nova Sub-23-Portugal-Team-Futebol (2;12.0), GD Aldeia Nova B-Portugal-Team-Futebol (2;18.0)"
alenquer,pt,1879,"Alenquer e Benfica-Portugal-Team-Futebol (1580;1.16), Alenquer RC-Portugal-Team-Futsal (90;1.18), Carregado-Portugal-Team-Futebol-Q261737 (51;1.55), Alenquer e Benfica-Portugal-Team-Hóquei em Patins (41;2.34), Alenquer e Benfica Sub-14-Portugal-Team-Futebol (26;9.96), União Atalaia-Portugal-Team-Futebol (16;3.06), Alenquer e Benfica Sub-19-Portugal-Team-Futebol (13;4.92), Alenquer RC-Portugal-Team-Futsal (11;1.55), Alenquer e Benfica Sub-17-Portugal-Team-Futebol (8;8.38), Alenquer e Benfica Sub-15-Portugal-Team-Futebol (8;6.12), Alenquer e Benfica Sub-13-Portugal-Team-Futebol (7;7.43), Alenquer e Benfica-Portugal-Team-Hóquei em Patins (5;1.4), Alenquer RC Sub-19-Portugal-Team-Futsal (5;7.0), Alenquer BC Sub-20-Portugal-Team-Basquetebol (4;1.0), Alenquer e Benfica Veteranos-Portugal-Team-Futebol (3;9.0), Alenquer e Benfica Sub-23-Portugal-Team-Hóquei em Patins (3;5.0), Alenquer e Benfica Sub-11-Portugal-Team-Futebol (2;10.5), Alenquer BC-Portugal-Team-Basquetebol (2;16.0), Alenquer e Benfica-Portugal-Team-Hóquei em Patins (2;1.0), Pavilhão Municipal de Alenquer-Portugal-Stadium-Futebol (2;32.0)"
alfenense,pt,4506,"Alfenense-Portugal-Team-Futebol (3792;1.0), Alfenense-Portugal-Team-Futsal (200;1.1), Alfenense Sub-19-Portugal-Team-Futebol (77;5.05), Rodrigo Ribeiro-Portugal-Player-Futebol-Q111173636 (71;2.07), Alfenense Feminino-Portugal-Team-Futebol (60;3.1), Alfenense Sub-15-Portugal-Team-Futebol (53;13.77), Alfenense Sub-13-Portugal-Team-Futebol (44;7.02), Alfenense Sub-15-Portugal-Team-Futebol (44;6.14), Alfenense Sub-17-Portugal-Team-Futebol (27;16.11), Alfenense Sub-11-Portugal-Team-Futebol (25;9.32), Alfenense Sub-19-Portugal-Team-Futebol (22;19.0), Alfenense Sub-12-Portugal-Team-Futebol (16;10.25), Alfenense Sub-9-Portugal-Team-Futebol (11;12.18), Alfenense Sub-14-Portugal-Team-Futebol (11;8.0), Alfenense Sub-16-Portugal-Team-Basquetebol (8;8.0), Alfenense Sub-18-Portugal-Team-Basquetebol (7;3.0), Alfenense Sub-8-Portugal-Team-Futebol (6;11.33), Alfenense Sub-13-Portugal-Team-Futebol (5;23.0), Alfenense-Portugal-Team-Basquetebol (5;2.0), Alfenense Sub-17-Portugal-Team-Futebol (4;20.0), Alfenense Sub-14-Portugal-Team-Basquetebol (4;1.0), Alfenense Sub-13-Portugal-Team-Futebol (2;24.0), Alfenense Sub-11-Portugal-Team-Futsal (2;15.0), Alfenense Veteranos-Portugal-Team-Futebol (2;14.0), Alfenense Sub-15-Portugal-Team-Futsal (2;12.0), Alfenense-Portugal-Team-Futsal (2;14.0), Alfenense Sub-13-Portugal-Team-Futebol (2;21.0), Alfenense Sub-19-Portugal-Team-Futsal (2;3.0)"
alges,pt,2943,"Algés-Portugal-Team-Futebol (2765;1.0), Algés Sub-19-Portugal-Team-Futebol (31;7.29), EAS Algés-Portugal-Team-Futebol (29;2.0), Algés Sub-15-Portugal-Team-Futebol (15;10.53), Algés Sub-14-Portugal-Team-Futebol (13;8.54), Algés Sub-16-Portugal-Team-Basquetebol (12;1.0), Algés Sub-17-Portugal-Team-Futebol (11;10.55), EF Belém Algés-Portugal-Team-Futebol (11;3.27), Algés-Portugal-Team-Basquetebol (10;4.0), Liga de Algés-Portugal-Team-Futebol (7;3.43), Algés Sub-13-Portugal-Team-Futebol (6;12.0), Cr Atl. Algés-Portugal-Team-Futebol (5;5.0), Algés Sub-16-Portugal-Team-Futebol (4;10.75), Algés-Portugal-Team-Basquetebol (4;16.0), EF Belém Algés Sub-13-Portugal-Team-Futebol (3;15.0), Algés Sub-18-Portugal-Team-Futebol (3;7.67), José Embaló-Guinea Bissau-Player-Futebol-Q16235351 (2;13.0), Algés Sub-12-Portugal-Team-Basquetebol (2;10.0), Algés Sub-18-Portugal-Team-Basquetebol (2;9.0), Algés Sub-14-Portugal-Team-Basquetebol (2;8.0), Algés-Portugal-Team-Futsal (2;1.0), Algés Veteranos-Portugal-Team-Futebol (2;6.0), EAS Algés Sub-15-Portugal-Team-Futebol (2;14.0)"
aliados,pt,2997,"Aliados Lordelo-Portugal-Team-Futebol (2795;1.01), Aliados Lordelo Sub-17-Portugal-Team-Futebol (45;8.07), Aliados Lordelo Sub-13-Portugal-Team-Futebol (29;6.07), Aliados Lordelo Feminino-Portugal-Team-Futebol (27;2.93), Aliados Lordelo-Portugal-Team-Futsal (16;1.0), Aliados Vendas Novas-Portugal-Team-Futebol (15;4.0), Aliados Lordelo B-Portugal-Team-Futebol (15;10.0), Aliados Lordelo Sub-19-Portugal-Team-Futebol (14;7.0), Rui Barros-Portugal-Player-Futebol-Q735137 (13;2.0), Aliados Lordelo Sub-15-Portugal-Team-Futebol (10;9.1), Aliados Lordelo Sub-13-Portugal-Team-Futebol (7;13.0), Aliados Lordelo-Portugal-Team-Futsal (4;2.0), Jaime Pacheco-Portugal-Player-Futebol-Q1370368 (3;15.0), Aliados Vendas Novas Sub-17-Portugal-Team-Futebol (2;15.5), Aliados Lordelo Sub-23-Portugal-Team-Futebol (2;11.0)"
alpendorada,pt,2949,"Alpendorada-Portugal-Team-Futebol (2562;1.0), Alpendorada Sub-19-Portugal-Team-Futebol (138;3.14), Alpendorada Sub-15-Portugal-Team-Futebol (90;3.6), Alpendorada Sub-17-Portugal-Team-Futebol (86;5.01), Renato Coimbra-Portugal-Coach-Futebol (24;2.29), Alpendorada Sub-11-Portugal-Team-Futebol (11;9.91), ARC Alpendorada-Portugal-Team-Futsal (8;1.0), ARC Alpendorada-Portugal-Team-Andebol (5;1.0), Alpendorada Sub-13-Portugal-Team-Futebol (4;3.75), Alpendorada Sub-16-Portugal-Team-Futebol (4;7.5), Jassie Vasconcelos-Portugal-Player-Futebol-Q60161904 (3;19.33), Rafa Soares-Portugal-Player-Futebol-Q15980615 (3;13.0), Márcio Vieira-Andorra-Player-Futebol-Q976321 (3;18.33), Alpendorada Veteranos-Portugal-Team-Futebol (2;10.0), Alpendorada Sub-21-Portugal-Team-Futebol (2;9.5), Alpendorada Sub-13-Portugal-Team-Futebol (2;15.5), Alpendorada Sub-14-Portugal-Team-Futebol (2;6.0)"
alta de lisboa,pt,2011,"Alta de Lisboa-Portugal-Team-Futebol (1819;1.0), Alta de Lisboa Sub-15-Portugal-Team-Futebol (41;8.34), Alta de Lisboa Sub-17-Portugal-Team-Futebol (29;10.21), Alta de Lisboa Sub-19-Portugal-Team-Futebol (24;8.54), João Palhinha-Portugal-Player-Futebol-Q16236952 (21;2.0), Alta de Lisboa Sub-16-Portugal-Team-Futebol (16;6.06), Alta de Lisboa Feminino-Portugal-Team-Futebol (11;3.0), Alta de Lisboa Sub-23-Portugal-Team-Futebol (9;5.44), Alta de Lisboa Sub-17-Portugal-Team-Futebol (8;18.25), Alta de Lisboa Sub-14-Portugal-Team-Futebol (7;7.14), Alta de Lisboa Sub-13-Portugal-Team-Futebol (7;11.29), Alta de Lisboa Sub-15-Portugal-Team-Futebol (6;16.0), Tomás Ribeiro-Portugal-Player-Futebol-Q67937254 (5;10.6), Alta de Lisboa Sub-13-Portugal-Team-Futebol (3;18.67), EAS Alta de Lisboa-Portugal-Team-Futebol (3;4.33), EAS Alta de Lisboa Sub-15-Portugal-Team-Futebol (2;15.5)"
alverca,pt,11730,"FC Alverca-Portugal-Team-Futebol (11463;1.0), Rafa Silva-Portugal-Player-Futebol-Q15907851 (64;2.0), Deco-Portugal-Player-Futebol-Q659634 (36;3.11), Ricardo Carvalho-Portugal-Player-Futebol-Q570811 (15;5.0), Rui Vitória-Portugal-Coach-Futebol-Q2364249 (15;4.0), André Almeida-Portugal-Player-Futebol-Q1496559 (14;8.07), Ivan Cavaleiro-Portugal-Player-Futebol-Q6096043 (13;5.92), FC Alverca Feminino-Portugal-Team-Futebol (12;18.08), Maniche-Portugal-Player-Futebol-Q29339 (9;6.44), CD Alverca Volei-Portugal-Team-Voleibol (8;1.0), União Juv. Alverca-Portugal-Team-Futebol (6;19.83), Pedro Mantorras-Angola-Player-Futebol-Q464815 (6;10.67), Arsenal Alverca-Portugal-Team-Futsal (5;1.0), Alverca City-Portugal-Team-Futebol (5;17.4), FC Alverca B-Portugal-Team-Futebol (5;37.4), CD Alverca Volei-Portugal-Team-Voleibol (5;2.0), Miguel Lopes-Portugal-Player-Futebol-Q326452 (5;18.8), FC Alverca-Portugal-Team-Hóquei em Patins (5;1.6), Wilson Eduardo-Angola-Player-Futebol-Q2074431 (4;9.5), UJ Alverca-Portugal-Team-Andebol (4;7.0), FC Alverca Sub-19-Portugal-Team-Futebol (4;24.0), UJ Alverca-Portugal-Team-Futsal (3;2.0), Fernando Varela-Cabo Verde-Player-Futebol-Q2699502 (2;16.0), Marco Caneira-Portugal-Player-Futebol-Q343997 (2;13.5), UJ Alverca Sub-21-Portugal-Team-Andebol (2;8.0), UJ Alverca Sub-16-Portugal-Team-Andebol (2;10.0), UJ Alverca Sub-14-Portugal-Team-Andebol (2;1.0), FC Alverca Sub-17-Portugal-Team-Futebol (2;28.5), CD Alverca Volei-Portugal-Team-Voleibol (2;3.0), FC Alverca Sub-20-Portugal-Team-Hóquei em Patins (2;4.0), Vasco Matos-Portugal-Coach-Futebol-Q7916419 (2;16.5), CB Alverca Sub-13-Portugal-Team-Futsal (2;5.0), CB Alverca-Portugal-Team-Futebol (2;18.5), FC Alverca-Portugal-Team-Futebol2572 (2;28.0)"
amadora,pt,1985,"Est. Amadora-Portugal-Team-Futebol-Q108457563 (1857;1.0), AD Amadora-Portugal-Team-Futebol (82;14.78), José Mourinho-Portugal-Coach-Futebol-Q79983 (10;2.0), Est. Amadora-Portugal-Team-Futsal (7;2.0), Damaiense-Portugal-Team-Futebol (4;4.0), Est. Amadora Sub-18-Portugal-Team-Andebol (4;13.75), Tiago Djaló-Portugal-Player-Futebol-Q50349931 (4;6.0), Fernando Santos-Portugal-Coach-Futebol-Q360687 (3;13.33), Diogo Travassos-Portugal-Player-Futebol (2;47.5), Rúben Semedo-Portugal-Player-Futebol-Q16236521 (2;15.0), Paulo Bento-Portugal-Player-Futebol-Q316733 (2;92.0), Est. Amadora-Portugal-Team-Andebol (2;2.0), Est. Amadora Sub-23-Portugal-Team-Futebol (2;12.0), Est. Amadora B-Portugal-Team-Futebol (2;15.0), AA Amadora-Portugal-Team-Andebol (2;1.0)"
amarante,pt,8475,"Amarante FC-Portugal-Team-Futebol-Q2841205 (8122;1.0), Lomba SC Amarante-Portugal-Team-Futebol (142;2.0), Vila Caiz-Portugal-Team-Futebol (43;3.0), ACR Gatão-Portugal-Team-Futebol (25;9.12), Freixo de Cima-Portugal-Team-Futebol (23;4.09), SC Salvadorense-Portugal-Team-Futebol (18;4.83), Amarante FC-Portugal-Team-Andebol (14;1.0), Cláudio Ramos-Portugal-Player-Futebol-Q5137255 (11;12.27), AFP Amarante-Portugal-Competition-Futebol (9;11.44), GDR Travanca-Portugal-Team-Futebol (8;9.38), AD Amarante-Portugal-Team-Futebol (8;19.38), Ricardo Carvalho-Portugal-Player-Futebol-Q570811 (8;6.12), ARCA (Amarante)-Portugal-Team-Futebol (5;9.8), Amarante FC-Portugal-Team-Futsal (5;1.0), Nuno Gomes-Portugal-Player-Futebol-Q193568 (3;6.67), Amarante FC Feminino-Portugal-Team-Futebol (3;16.0), AD Figueiró-Portugal-Team-Futebol (3;10.67), AD Amarante-Portugal-Team-Andebol (3;2.0), Francisco Amarante-Portugal-Player-Basquetebol (3;1.0), Mancelos FC-Portugal-Team-Futebol (3;13.33), João M. Mendes-Portugal-Player-Futebol (2;17.0), Tarantini-Portugal-Player-Futebol-Q7322685 (2;24.5), AD Amarante Minis-Portugal-Team-Andebol (2;3.0), AFP Amarante 1ª Divisão-Portugal-Competition-Futebol (2;19.0), Renato Coimbra-Portugal-Coach-Futebol (2;13.5), Amarante FC Sub-15-Portugal-Team-Futebol (2;31.0), Amarante FC Sub-19-Portugal-Team-Futebol (2;34.0), Amarante FC Sub-17-Portugal-Team-Futebol (2;34.0)"
